0,0,普通床(木),"普通的木床,各方面都比较均衡",100,2,2,2,2,1,7
0,1,自律床(木),能让人自律的木床,100,2,1,1,1,4,8
0,2,医疗床(木),能在患者睡眠时缓慢释放药物的木床,100,2,1,1,4,1,9
0,3,灵能床(木),能与患者进行心灵沟通的木床，帮助患者舒缓压力,100,2,1,4,1,1,10
0,4,天空床(木),"十分舒适的木床,具有云的质感",100,2,4,1,1,1,11
0,5,普通床(铜),"普通的铜床,各方面都比较均衡",200,4,3,3,2,2,12
0,6,自律床(铜),能让人自律的铜床,200,2,2,1,1,6,13
0,7,医疗床(铜),能在患者睡眠时缓慢释放药物的铜床,200,2,2,1,6,1,14
0,8,灵能床(铜),能与患者进行心灵沟通的铜床，帮助患者舒缓压力,200,2,2,6,1,1,15
0,9,天空床(铜),"十分舒适的铜床,具有云的质感",200,2,6,2,1,1,16
0,10,普通床(银),"普通的银床,各方面都比较均衡",400,6,4,3,3,3,17
0,11,自律床(银),能让人自律的银床,400,2,2,2,2,8,18
0,12,医疗床(银),能在患者睡眠时缓慢释放药物的银床,400,2,2,2,8,2,19
0,13,灵能床(银),能与患者进行心灵沟通的银床，帮助患者舒缓压力,400,2,2,8,2,2,20
0,14,天空床(银),"十分舒适的银床,具有云的质感",400,2,8,2,2,2,21
0,15,普通床(金),"普通的金床,各方面都比较均衡",800,8,4,4,4,4,22
0,16,自律床(金),能让人自律的金床,800,4,2,2,2,10,23
0,17,医疗床(金),能在患者睡眠时缓慢释放药物的金床,800,4,2,2,10,2,24
0,18,灵能床(金),能与患者进行心灵沟通的金床，帮助患者舒缓压力,800,4,2,10,2,2,25
0,19,天空床(金),"十分舒适的金床,具有云的质感",800,4,10,2,2,2,26
1,0,小太阳花,普通的小型太阳花,50,2,0,1,0,0,3
1,1,小蓝花,普通的小型蓝花,50,2,1,0,0,0,4
1,2,小树,种在盆栽中的小树,50,0,1,1,0,0,33
1,3,热带树,种在盆栽中的热带树,50,2,0,0,1,0,34
1,4,橡树,种在盆栽中的橡树,50,0,0,1,1,0,35
1,5,小仙人掌,患者必须抑制住伸手摸它的想法,50,0,0,0,0,2,36
1,6,小礼物,送给患者的小礼物,100,2,1,2,0,0,37
1,7,古树,有一些年代的树,100,4,1,1,0,0,38
1,8,果树,会长出可食用的果子,100,2,1,1,1,0,39
1,9,陶瓷,易碎勿碰,100,2,0,2,0,1,40
1,10,等身模型,精致的模型,100,4,0,2,0,0,41
1,11,电话,方便患者和家人沟通,100,0,1,2,0,1,42
1,12,世界树幼苗,再过5000年就长大了,250,6,2,1,0,0,43
1,13,高等数学,禁忌之书,250,0,-6,-6,12,12,44
1,14,地球仪,可以看到世界各地,250,2,3,2,0,0,45
1,15,小南瓜,患者可以把它套在头上,250,2,2,1,0,0,46
1,16,高级红花,名贵的稀有红花,250,8,0,1,0,1,47
1,17,高级蓝花,名贵的稀有蓝花,250,8,1,1,0,0,48
2,0,工具台,配备齐全各种医疗工具,75,0,0,0,3,0,5
2,1,玻璃桌,好看的玻璃桌，可以用来放东西,75,2,1,1,0,0,6
2,2,高性能机器人,能在合适的时机给予患者帮助的机器人,75,0,1,1,1,0,28
2,3,自动售货机,内置各种健康饮食,75,0,1,2,0,0,29
2,4,全功能桌,可以满足一切需要的桌子,75,0,0,2,0,1,30
2,5,书架,书籍就是力量,75,0,0,1,1,1,31
2,6,大型玩偶,给予患者精神上的安抚,150,2,1,4,0,0,32
2,7,跑步机,适当运动可以缓解压力,150,0,0,3,0,3,49
2,8,动感单车,在室内就可以像在室外一样骑车,150,0,1,3,1,1,50
2,9,大鼓,一个可以帮助患者释放压力的乐器,150,0,2,4,0,0,51
2,10,画架,可以让患者专注于画画,150,6,1,2,0,0,52
2,11,高科技饮水机,利用卡扎鲁-克莱因额外维胀子场效应管将自来水转变为有益于身体健康的水,150,2,0,0,4,1,53
2,12,多功能分析仪,能够依靠患者的言行举止分析患者的精神状态，从而提供最佳的治疗方案,400,0,1,0,6,2,54
2,13,高级洗手台,装饰精美的洗手台,400,4,3,2,2,0,55
2,14,智能日程表,帮助患者调整作息,400,2,1,1,2,4,56
2,15,大书,图画精美的大型书,400,2,3,3,1,1,57
2,16,王座,坐上去会很舒适,400,6,2,2,1,1,58
2,17,智能监测仪,即时监测患者的状态,400,2,1,1,3,3,59
